range,Count
"(6578.1366, 6613.1366]",0
"(6613.1366, 6648.1366]",4
"(6648.1366, 6683.1366]",4
"(6683.1366, 6718.1366]",64
"(6718.1366, 6753.1366]",231
"(6753.1366, 6788.1366]",28
"(6788.1366, 6823.1366]",35
"(6823.1366, 6858.1366]",41
"(6858.1366, 6893.1366]",37
"(6893.1366, 6928.1366]",2529
"(6928.1366, 6963.1366]",208
"(6963.1366, 6998.1366]",36
"(6998.1366, 7033.1366]",14
"(7033.1366, 7068.1366]",2
"(7068.1366, 7103.1366]",14
"(7103.1366, 7138.1366]",28
"(7138.1366, 7173.1366]",113
"(7173.1366, 7208.1366]",3
"(7208.1366, 7243.1366]",0
"(7243.1366, 7278.1366]",0
"(7278.1366, 7313.1366]",0
"(7313.1366, 7348.1366]",0
"(7348.1366, 7383.1366]",0
"(7383.1366, 7418.1366]",0
"(7418.1366, 7453.1366]",0
"(7453.1366, 7488.1366]",1
"(7488.1366, 7523.1366]",0
"(7523.1366, 7558.1366]",0
"(7558.1366, 7593.1366]",283
"(7593.1366, 7628.1366]",91
"(7628.1366, 7663.1366]",0
"(7663.1366, 7698.1366]",0
"(7698.1366, 7733.1366]",0
"(7733.1366, 7768.1366]",0
"(7768.1366, 7803.1366]",0
"(7803.1366, 7838.1366]",0
"(7838.1366, 7873.1366]",0
"(7873.1366, 7908.1366]",0
"(7908.1366, 7943.1366]",0
"(7943.1366, 7978.1366]",0
